"Seed","Configuration_ID","Test_Observations","Prefilter_Stack_BA","Standard_Stack_BA","Hard_Vote_BA","XGBoost_BA","Prefilter_Stack_Accuracy","Standard_Stack_Accuracy","Hard_Vote_Accuracy","XGBoost_Accuracy","Direct_Vote_Rate","Cases_Sent_To_Meta","Meta_Route_Accuracy","Direct_Route_Accuracy","Prefilter_Minus_Standard","Prefilter_Minus_Hard_Vote","Prefilter_Minus_XGBoost"
100,"SpambasePrefilter5of6OOFThresholds",919,0.95918843052263,0.949797653173572,0.953733001378736,0.957254232917068,0.957562568008705,0.945593035908596,0.952121871599565,0.957562568008705,0.947769314472252,48,0.75,0.969001148105626,0.00939077734905824,0.00545542914389441,0.00193419760556257
200,"SpambasePrefilter5of6OOFThresholds",919,0.9576683495839,0.956150748385689,0.957184800182509,0.949519922235337,0.958650707290533,0.952121871599565,0.958650707290533,0.949945593035909,0.968443960826986,29,0.586206896551724,0.970786516853933,0.00151760119821065,0.000483549401390615,0.00814842734856236
300,"SpambasePrefilter5of6OOFThresholds",919,0.94061269428767,0.939231478818056,0.938609063947549,0.939092613348939,0.9379760609358,0.936887921653972,0.939064200217628,0.939064200217628,0.932535364526659,62,0.612903225806452,0.961493582263711,0.00138121546961323,0.00200363034012119,0.00152008093873046
400,"SpambasePrefilter5of6OOFThresholds",919,0.953733001378736,0.953594135909619,0.948208139500283,0.944548042492834,0.952121871599565,0.954298150163221,0.947769314472252,0.944504896626768,0.959738846572361,37,0.621621621621622,0.965986394557823,0.000138865469117233,0.00552486187845302,0.00918495888590209
500,"SpambasePrefilter5of6OOFThresholds",919,0.942336113949036,0.94523741035738,0.945306843091939,0.953180019242786,0.94885745375408,0.94885745375408,0.947769314472252,0.953210010881393,0.957562568008705,39,0.666666666666667,0.961363636363636,-0.0029012964083438,-0.00297072914290253,-0.01084390529375
600,"SpambasePrefilter5of6OOFThresholds",919,0.945445708561056,0.943375125226896,0.945515141295615,0.947794022833451,0.945593035908596,0.940152339499456,0.944504896626768,0.946681175190424,0.944504896626768,51,0.686274509803922,0.960829493087558,0.00207058333415988,-6.94327345587276e-05,-0.00234831427239457
700,"SpambasePrefilter5of6OOFThresholds",919,0.949795173433052,0.953455270440501,0.954491801977841,0.941438447880814,0.953210010881393,0.956474428726877,0.955386289445049,0.947769314472252,0.939064200217628,56,0.660714285714286,0.972190034762457,-0.00366009700744918,-0.00469662854478914,0.0083567255522381
800,"SpambasePrefilter5of6OOFThresholds",919,0.949036372833947,0.950901137704951,0.949036372833947,0.935985498477439,0.949945593035909,0.951033732317737,0.949945593035909,0.934711643090316,0.957562568008705,39,0.717948717948718,0.960227272727273,-0.00186476487100395,0,0.0130508743565072
900,"SpambasePrefilter5of6OOFThresholds",919,0.936605433607427,0.933843002668201,0.927973456857474,0.931358302667209,0.940152339499456,0.9379760609358,0.931447225244831,0.931447225244831,0.947769314472252,48,0.729166666666667,0.951779563719862,0.00276243093922657,0.00863197674995286,0.00524713094021834
1000,"SpambasePrefilter5of6OOFThresholds",919,0.95041758830356,0.945723439499291,0.948622256167115,0.952351785909123,0.951033732317737,0.941240478781284,0.94885745375408,0.951033732317737,0.953210010881393,43,0.627906976744186,0.96689497716895,0.0046941488042691,0.00179533213644523,-0.00193419760556257
